Order-Id,Item-id,Product-Id,Quantity,Sales-Id,Customer-Id,Sales-Price-Per-Prod,Market-Segment
0,0,4,2,7,26,132,financial
1,1,8,27,9,26,127,pharmaceutical
2,2,3,3,5,2,180,retail
3,3,2,21,3,0,204,pharmaceutical
4,4,8,0,9,24,123,financial
5,5,5,25,2,12,102,retail
6,6,4,27,5,10,190,financial
7,7,1,24,8,26,222,realestate
8,8,2,4,4,7,219,financial
9,9,4,29,4,14,172,pharmaceutical
10,10,9,8,0,27,66,retail
11,11,6,14,7,14,75,realestate
12,12,0,29,6,8,120,software
13,13,9,4,4,26,86,retail
14,14,8,15,4,18,201,financial
15,15,3,25,0,0,208,education
16,16,7,19,8,26,130,realestate
17,17,5,24,9,2,112,education
18,18,1,2,9,11,198,pharmaceutical
19,19,3,19,9,11,191,education
20,20,2,25,5,24,205,software
21,21,7,7,5,5,131,financial
22,22,5,27,3,11,104,software
23,23,9,12,2,21,93,financial
24,24,6,16,3,15,64,realestate
25,25,3,12,4,7,172,retail
26,26,6,25,1,4,49,financial
27,27,4,22,9,7,153,education
28,28,2,7,8,5,212,education
29,29,4,1,1,6,145,retail
30,30,9,8,4,22,80,realestate
31,31,3,22,7,12,174,pharmaceutical
32,32,0,14,5,13,119,retail
33,33,9,26,9,5,63,financial
34,34,4,20,9,22,179,retail
35,35,3,14,5,10,210,software
36,36,9,25,4,11,59,education
37,37,7,6,2,20,140,realestate
38,38,1,5,3,22,160,pharmaceutical
39,39,5,29,4,20,120,retail
40,40,6,18,3,29,83,software
41,41,4,29,0,16,190,realestate
42,42,2,19,9,25,199,education
43,43,9,5,1,7,82,realestate
44,44,6,1,0,4,41,pharmaceutical
45,45,6,21,1,29,42,financial
46,46,7,3,0,27,129,pharmaceutical
47,47,4,3,8,2,162,education
48,48,9,8,8,0,78,financial
49,49,8,15,2,24,133,financial
50,50,4,10,5,18,134,retail
51,51,3,28,8,24,192,education
52,52,4,5,3,1,163,financial
